STATION,NAME,DATE,TAVG,LATITUDE,LONGITUDE
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1963.0,51.9,39.87326,-75.22681
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",1963.0,71.0,28.41822,-81.32413
USW00023225,"BLUE CANYON NYACK AIRPORT, CA US",1963.0,49.7,39.27617,-120.70927
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1963.0,52.1,45.59578,-122.60919
USC00047339,"REDWOOD CITY, CA US",1963.0,58.9,37.4767,-122.2386
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1963.0,45.5,44.9902,-93.17995
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1963.0,47.1,41.96017,-87.93164
USW00094728,"NY CITY CENTRAL PARK, NY US",1963.0,53.5,40.77898,-73.96925
USW00012834,"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",1963.0,69.8,29.17351,-81.07185
USW00023183,"PHOENIX AIRPORT, AZ US",1963.0,70.9,33.4278,-112.00365
USW00014942,"OMAHA EPPLEY AIRFIELD, NE US",1963.0,52.1,41.31186,-95.90186
USW00023169,"MCCARRAN INTERNATIONAL AIRPORT, NV US",1963.0,66.0,36.0719,-115.16343
USC00456789,"PULLMAN 2 NW, WA US",1963.0,47.7,46.76016,-117.1861
USW00013897,"NASHVILLE INTERNATIONAL AIRPORT, TN US",1963.0,57.8,36.11054,-86.68815
USW00014935,"GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US",1963.0,50.4,40.96146,-98.31304
USW00093193,"FRESNO YOSEMITE INTERNATIONAL, CA US",1963.0,61.6,36.77999,-119.72016
USW00023062,"DENVER CENTRAL PARK, CO US",1963.0,50.7,39.76746,-104.86948
USW00013899,"PENSACOLA REGIONAL AIRPORT, FL US",1963.0,66.8,30.47612,-87.18575
USW00024036,"LEWISTOWN AIRPORT, MT US",1963.0,44.3,47.05443,-109.45654
USW00014838,"MARQUETTE, MI US",1963.0,42.3,46.5458,-87.3795
USW00024057,"RAWLINS AIRPORT, WY US",1963.0,43.7,41.80644,-107.19518
USW00024234,"SEATTLE BOEING FIELD, WA US",1963.0,53.6,47.54554,-122.31475
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",1963.0,63.7,33.81177,-118.14718
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1963.0,57.2,37.7178,-122.23301
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1963.0,65.1,34.0236,-118.2911
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1963.0,76.6,36.46263,-116.8672
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",1963.0,76.7,21.32402,-157.93946
USW00003928,"WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US",1963.0,57.9,37.64753,-97.42999
USW00013723,"GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US",1963.0,56.1,36.0969,-79.94316
USC00228374,"STATE UNIVERSITY, MS US",1963.0,62.3,33.4691,-88.7822
USW00023065,"GOODLAND RENNER FIELD, KS US",1963.0,52.8,39.36729,-101.69322
USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",1963.0,50.9,40.77069,-111.96503
USW00014822,"DETROIT CITY AIRPORT, MI US",1963.0,49.3,42.40725,-83.00899
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1963.0,48.4,41.33349,-75.72273
USW00013959,"WACO REGIONAL AIRPORT, TX US",1963.0,68.0,31.61796,-97.2283
USW00013882,"CHATTANOOGA AIRPORT, TN US",1963.0,58.9,35.03363,-85.20039
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1963.0,44.6,43.14069,-89.34521
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",1963.0,69.5,29.54429,-98.48395
USW00003816,"PADUCAH BARKLEY REGIONAL AIRPORT, KY US",1963.0,56.0,37.05635,-88.77425
USW00014898,"GREEN BAY A S INTERNATIONAL AIRPORT, WI US",1963.0,43.2,44.47958,-88.1371
USW00014936,"HURON REGIONAL AIRPORT, SD US",1963.0,46.8,44.37916,-98.22275
USC00129222,"WANATAH 2 WNW, IN US",1963.0,47.0,41.4439,-86.9294
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1963.0,44.7,42.95489,-87.9045
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",1963.0,51.5,44.6341,-123.19
USW00013876,"BIRMINGHAM AIRPORT, AL US",1963.0,61.7,33.56545,-86.7449
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",1963.0,41.9,44.46825,-73.1499
USW00023160,"TUCSON INTERNATIONAL AIRPORT, AZ US",1963.0,68.5,32.13153,-110.95638
USW00013724,"ATLANTIC CITY MARINA, NJ US",1963.0,53.3,39.37778,-74.42361
USW00094823,"PITTSBURGH INTERNATIONAL AIRPORT, PA US",1963.0,48.2,40.48459,-80.21448
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1963.0,49.0,41.53395,-93.65313
USW00013960,"DALLAS FAA AIRPORT, TX US",1963.0,67.0,32.83839,-96.83583
USW00024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1963.0,61.1,40.15186,-122.25478
USW00014944,"SIOUX FALLS FOSS FIELD, SD US",1963.0,47.4,43.57751,-96.75387
USW00094224,"ASTORIA AIRPORT PORT OF, OR US",1963.0,51.5,46.15694,-123.88326
USW00024227,"OLYMPIA AIRPORT, WA US",1963.0,50.4,46.97371,-122.90493
USW00024221,"EUGENE MAHLON SWEET FIELD, OR US",1963.0,52.8,44.13311,-123.21563
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1963.0,59.4,38.50659,-121.49604
USW00023187,"SANDBERG, CA US",1963.0,54.2,34.74361,-118.72528
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",1963.0,51.4,38.80949,-104.68873
USW00024155,"PENDLETON E OR REGIONAL AIRPORT, OR US",1963.0,52.4,45.6975,-118.83446
USW00023237,"STOCKTON AIRPORT, CA US",1963.0,59.6,37.88997,-121.22637
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1963.0,59.6,33.62972,-84.44224
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1963.0,56.4,37.61962,-122.36562
USC00044500,"KENTFIELD, CA US",1963.0,57.1,37.9566,-122.5447
USC00043875,"HEALDSBURG, CA US",1963.0,59.4,38.62935,-122.86646
USC00045915,"MOUNT DIABLO JUNCTION, CA US",1963.0,57.8,37.8792,-121.9303
USC00046826,"PETALUMA AIRPORT, CA US",1963.0,56.9,38.2577,-122.6077
USC00044997,"LIVERMORE, CA US",1963.0,56.4,37.68194,-121.75139
USW00012834,"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",1964.0,70.4,29.17351,-81.07185
USW00023066,"GRAND JUNCTION WALKER FIELD, CO US",1964.0,51.9,39.13437,-108.54081
USC00456789,"PULLMAN 2 NW, WA US",1964.0,45.7,46.76016,-117.1861
USW00093193,"FRESNO YOSEMITE INTERNATIONAL, CA US",1964.0,61.6,36.77999,-119.72016
USW00014838,"MARQUETTE, MI US",1964.0,43.4,46.5458,-87.3795
USW00024234,"SEATTLE BOEING FIELD, WA US",1964.0,52.1,47.54554,-122.31475
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",1964.0,61.2,33.81177,-118.14718
USW00013723,"GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US",1964.0,57.8,36.0969,-79.94316
USW00003870,"GRNVL SPART INTERNATIONAL AIRPORT, SC US",1964.0,60.8,34.90614,-82.21253
USW00013958,"AUSTIN CAMP MABRY, TX US",1964.0,68.4,30.3208,-97.7604
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1964.0,54.0,39.87326,-75.22681
USW00094823,"PITTSBURGH INTERNATIONAL AIRPORT, PA US",1964.0,51.1,40.48459,-80.21448
USW00024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1964.0,62.3,40.15186,-122.25478
USW00024155,"PENDLETON E OR REGIONAL AIRPORT, OR US",1964.0,51.9,45.6975,-118.83446
USW00024221,"EUGENE MAHLON SWEET FIELD, OR US",1964.0,51.8,44.13311,-123.21563
USW00023225,"BLUE CANYON NYACK AIRPORT, CA US",1964.0,48.6,39.27617,-120.70927
USW00094728,"NY CITY CENTRAL PARK, NY US",1964.0,54.5,40.77898,-73.96925
USW00023183,"PHOENIX AIRPORT, AZ US",1964.0,67.8,33.4278,-112.00365
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1964.0,46.5,44.9902,-93.17995
USC00042294,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",1964.0,58.8,38.5349,-121.7761
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1964.0,48.8,41.96017,-87.93164
USW00013897,"NASHVILLE INTERNATIONAL AIRPORT, TN US",1964.0,59.4,36.11054,-86.68815
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1964.0,50.1,42.36057,-71.00975
USW00023169,"MCCARRAN INTERNATIONAL AIRPORT, NV US",1964.0,64.8,36.0719,-115.16343
USW00013968,"TULSA INTERNATIONAL AIRPORT, OK US",1964.0,61.1,36.19854,-95.87825
USW00014942,"OMAHA EPPLEY AIRFIELD, NE US",1964.0,51.9,41.31186,-95.90186
USW00025309,"JUNEAU AIRPORT, AK US",1964.0,40.2,58.354,-134.55606
USW00023062,"DENVER CENTRAL PARK, CO US",1964.0,49.6,39.76746,-104.86948
USW00023009,"ROSWELL INDUSTRIAL AIR PARK, NM US",1964.0,60.3,33.30735,-104.50817
USW00014935,"GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US",1964.0,50.4,40.96146,-98.31304
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1964.0,50.0,47.44467,-122.31442
USW00024036,"LEWISTOWN AIRPORT, MT US",1964.0,41.1,47.05443,-109.45654
USW00024057,"RAWLINS AIRPORT, WY US",1964.0,40.2,41.80644,-107.19518
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1964.0,76.4,25.78805,-80.31694
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1964.0,76.2,36.46263,-116.8672
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1964.0,63.6,34.0236,-118.2911
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1964.0,56.9,37.7178,-122.23301
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",1964.0,77.0,21.32402,-157.93946
USW00023065,"GOODLAND RENNER FIELD, KS US",1964.0,51.0,39.36729,-101.69322
USW00023034,"SAN ANGELO MATHIS FIELD AIRPORT, TX US",1964.0,66.9,31.35172,-100.4948
USW00014822,"DETROIT CITY AIRPORT, MI US",1964.0,51.2,42.40725,-83.00899
USW00003940,"JACKSON INTERNATIONAL AIRPORT, MS US",1964.0,65.1,32.31982,-90.07778
USW00003928,"WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US",1964.0,57.6,37.64753,-97.42999
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1964.0,46.9,43.14069,-89.34521
USW00013882,"CHATTANOOGA AIRPORT, TN US",1964.0,59.9,35.03363,-85.20039
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1964.0,49.6,41.33349,-75.72273
USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",1964.0,48.3,40.77069,-111.96503
USW00013880,"CHARLESTON INTL. AIRPORT, SC US",1964.0,65.1,32.89945,-80.0407
USC00228374,"STATE UNIVERSITY, MS US",1964.0,62.9,33.4691,-88.7822
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",1964.0,50.0,41.93742,-72.68202
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",1964.0,68.9,29.54429,-98.48395
USW00013959,"WACO REGIONAL AIRPORT, TX US",1964.0,67.2,31.61796,-97.2283
USC00237963,"SPICKARD 7 W, MO US",1964.0,53.5,40.2472,-93.7158
USW00003816,"PADUCAH BARKLEY REGIONAL AIRPORT, KY US",1964.0,57.9,37.05635,-88.77425
USC00129222,"WANATAH 2 WNW, IN US",1964.0,49.4,41.4439,-86.9294
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1964.0,49.8,41.40568,-81.85191
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1964.0,47.3,42.95489,-87.9045
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",1964.0,50.4,44.6341,-123.19
USW00014898,"GREEN BAY A S INTERNATIONAL AIRPORT, WI US",1964.0,45.0,44.47958,-88.1371
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",1964.0,44.0,44.46825,-73.1499
USW00013876,"BIRMINGHAM AIRPORT, AL US",1964.0,62.5,33.56545,-86.7449
USW00014936,"HURON REGIONAL AIRPORT, SD US",1964.0,45.8,44.37916,-98.22275
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",1964.0,56.7,37.51154,-77.32338
USW00012916,"NEW ORLEANS AIRPORT, LA US",1964.0,67.2,29.99755,-90.27772
USW00014944,"SIOUX FALLS FOSS FIELD, SD US",1964.0,46.5,43.57751,-96.75387
USW00023160,"TUCSON INTERNATIONAL AIRPORT, AZ US",1964.0,66.0,32.13153,-110.95638
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1964.0,49.4,41.53395,-93.65313
USW00013963,"LITTLE ROCK AIRPORT ADAMS FIELD, AR US",1964.0,62.2,34.72727,-92.2358
USW00013960,"DALLAS FAA AIRPORT, TX US",1964.0,66.4,32.83839,-96.83583
USW00013724,"ATLANTIC CITY MARINA, NJ US",1964.0,54.6,39.37778,-74.42361
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",1964.0,72.0,28.41822,-81.32413
USW00023187,"SANDBERG, CA US",1964.0,54.0,34.74361,-118.72528
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1964.0,60.6,38.50659,-121.49604
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",1964.0,48.8,38.80949,-104.68873
USW00094224,"ASTORIA AIRPORT PORT OF, OR US",1964.0,49.6,46.15694,-123.88326
USW00023237,"STOCKTON AIRPORT, CA US",1964.0,60.6,37.88997,-121.22637
USW00024227,"OLYMPIA AIRPORT, WA US",1964.0,47.8,46.97371,-122.90493
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1964.0,60.4,33.62972,-84.44224
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1964.0,50.1,45.59578,-122.60919
USC00043875,"HEALDSBURG, CA US",1964.0,59.9,38.62935,-122.86646
USC00045915,"MOUNT DIABLO JUNCTION, CA US",1964.0,58.2,37.8792,-121.9303
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1964.0,56.4,37.61962,-122.36562
USC00044500,"KENTFIELD, CA US",1964.0,57.3,37.9566,-122.5447
USC00047339,"REDWOOD CITY, CA US",1964.0,58.6,37.4767,-122.2386
USC00046826,"PETALUMA AIRPORT, CA US",1964.0,56.9,38.2577,-122.6077
USC00044997,"LIVERMORE, CA US",1964.0,57.0,37.68194,-121.75139
USW00013968,"TULSA INTERNATIONAL AIRPORT, OK US",1965.0,61.9,36.19854,-95.87825
USW00014942,"OMAHA EPPLEY AIRFIELD, NE US",1965.0,51.0,41.31186,-95.90186
USW00023066,"GRAND JUNCTION WALKER FIELD, CO US",1965.0,54.2,39.13437,-108.54081
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1965.0,57.4,37.7178,-122.23301
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1965.0,64.3,34.0236,-118.2911
USW00003940,"JACKSON INTERNATIONAL AIRPORT, MS US",1965.0,64.5,32.31982,-90.07778
USC00228374,"STATE UNIVERSITY, MS US",1965.0,63.6,33.4691,-88.7822
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",1965.0,49.2,41.33349,-75.72273
USW00013959,"WACO REGIONAL AIRPORT, TX US",1965.0,67.9,31.61796,-97.2283
USW00013876,"BIRMINGHAM AIRPORT, AL US",1965.0,61.8,33.56545,-86.7449
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",1965.0,56.5,37.51154,-77.32338
USW00024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1965.0,61.8,40.15186,-122.25478
USW00012916,"NEW ORLEANS AIRPORT, LA US",1965.0,67.7,29.99755,-90.27772
USW00014944,"SIOUX FALLS FOSS FIELD, SD US",1965.0,43.4,43.57751,-96.75387
USC00044500,"KENTFIELD, CA US",1965.0,57.1,37.9566,-122.5447
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1965.0,43.2,44.9902,-93.17995
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1965.0,47.9,41.96017,-87.93164
USW00023183,"PHOENIX AIRPORT, AZ US",1965.0,68.6,33.4278,-112.00365
USC00042294,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",1965.0,59.0,38.5349,-121.7761
USW00094728,"NY CITY CENTRAL PARK, NY US",1965.0,54.2,40.77898,-73.96925
USW00012834,"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",1965.0,69.8,29.17351,-81.07185
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",1965.0,49.6,42.36057,-71.00975
USC00456789,"PULLMAN 2 NW, WA US",1965.0,48.0,46.76016,-117.1861
USW00023169,"MCCARRAN INTERNATIONAL AIRPORT, NV US",1965.0,65.0,36.0719,-115.16343
USW00013897,"NASHVILLE INTERNATIONAL AIRPORT, TN US",1965.0,59.7,36.11054,-86.68815
USW00093193,"FRESNO YOSEMITE INTERNATIONAL, CA US",1965.0,61.6,36.77999,-119.72016
USW00025309,"JUNEAU AIRPORT, AK US",1965.0,39.3,58.354,-134.55606
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",1965.0,52.5,47.44467,-122.31442
USW00013899,"PENSACOLA REGIONAL AIRPORT, FL US",1965.0,67.5,30.47612,-87.18575
USW00014935,"GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US",1965.0,49.3,40.96146,-98.31304
USW00023009,"ROSWELL INDUSTRIAL AIR PARK, NM US",1965.0,61.1,33.30735,-104.50817
USW00023062,"DENVER CENTRAL PARK, CO US",1965.0,49.6,39.76746,-104.86948
USW00024057,"RAWLINS AIRPORT, WY US",1965.0,41.7,41.80644,-107.19518
USW00024036,"LEWISTOWN AIRPORT, MT US",1965.0,40.2,47.05443,-109.45654
USW00014838,"MARQUETTE, MI US",1965.0,41.3,46.5458,-87.3795
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1965.0,75.9,25.78805,-80.31694
USC00042319,"DEATH VALLEY NATIONAL PARK, CA US",1965.0,75.2,36.46263,-116.8672
USW00023129,"LONG BEACH DAUGHERTY AIRPORT, CA US",1965.0,62.0,33.81177,-118.14718
USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",1965.0,76.1,21.32402,-157.93946
USW00023065,"GOODLAND RENNER FIELD, KS US",1965.0,50.5,39.36729,-101.69322
USW00003870,"GRNVL SPART INTERNATIONAL AIRPORT, SC US",1965.0,60.6,34.90614,-82.21253
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",1965.0,68.6,29.54429,-98.48395
USW00013880,"CHARLESTON INTL. AIRPORT, SC US",1965.0,64.7,32.89945,-80.0407
USW00014740,"HARTFORD BRADLEY INTERNATIONAL AIRPORT, CT US",1965.0,49.9,41.93742,-72.68202
USW00013723,"GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US",1965.0,58.6,36.0969,-79.94316
USW00014822,"DETROIT CITY AIRPORT, MI US",1965.0,49.5,42.40725,-83.00899
USW00013882,"CHATTANOOGA AIRPORT, TN US",1965.0,59.2,35.03363,-85.20039
USW00014837,"MADISON DANE CO REGIONAL AIRPORT, WI US",1965.0,44.6,43.14069,-89.34521
USW00003928,"WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US",1965.0,57.7,37.64753,-97.42999
USW00024127,"SALT LAKE CITY INTERNATIONAL AIRPORT, UT US",1965.0,50.4,40.77069,-111.96503
USW00023034,"SAN ANGELO MATHIS FIELD AIRPORT, TX US",1965.0,66.4,31.35172,-100.4948
USW00003816,"PADUCAH BARKLEY REGIONAL AIRPORT, KY US",1965.0,58.0,37.05635,-88.77425
USW00014936,"HURON REGIONAL AIRPORT, SD US",1965.0,43.0,44.37916,-98.22275
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1965.0,49.9,41.40568,-81.85191
USW00014742,"BURLINGTON INTERNATIONAL AIRPORT, VT US",1965.0,43.2,44.46825,-73.1499
USC00237963,"SPICKARD 7 W, MO US",1965.0,52.7,40.2472,-93.7158
USW00013958,"AUSTIN CAMP MABRY, TX US",1965.0,68.2,30.3208,-97.7604
USW00014898,"GREEN BAY A S INTERNATIONAL AIRPORT, WI US",1965.0,43.7,44.47958,-88.1371
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",1965.0,45.8,42.95489,-87.9045
USC00129222,"WANATAH 2 WNW, IN US",1965.0,49.0,41.4439,-86.9294
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",1965.0,52.3,44.6341,-123.19
USW00013963,"LITTLE ROCK AIRPORT ADAMS FIELD, AR US",1965.0,62.7,34.72727,-92.2358
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1965.0,48.7,41.53395,-93.65313
USW00013724,"ATLANTIC CITY MARINA, NJ US",1965.0,53.5,39.37778,-74.42361
USW00094823,"PITTSBURGH INTERNATIONAL AIRPORT, PA US",1965.0,50.3,40.48459,-80.21448
USW00013960,"DALLAS FAA AIRPORT, TX US",1965.0,66.4,32.83839,-96.83583
USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",1965.0,53.0,39.87326,-75.22681
USW00023160,"TUCSON INTERNATIONAL AIRPORT, AZ US",1965.0,67.0,32.13153,-110.95638
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",1965.0,48.0,38.80949,-104.68873
USW00024221,"EUGENE MAHLON SWEET FIELD, OR US",1965.0,53.3,44.13311,-123.21563
USW00024227,"OLYMPIA AIRPORT, WA US",1965.0,50.6,46.97371,-122.90493
USW00012815,"ORLANDO INTERNATIONAL AIRPORT, FL US",1965.0,71.4,28.41822,-81.32413
USW00023232,"SACRAMENTO AIRPORT ASOS, CA US",1965.0,59.6,38.50659,-121.49604
USW00023225,"BLUE CANYON NYACK AIRPORT, CA US",1965.0,50.0,39.27617,-120.70927
USW00094224,"ASTORIA AIRPORT PORT OF, OR US",1965.0,51.1,46.15694,-123.88326
USW00024155,"PENDLETON E OR REGIONAL AIRPORT, OR US",1965.0,53.2,45.6975,-118.83446
USW00023237,"STOCKTON AIRPORT, CA US",1965.0,60.7,37.88997,-121.22637
USW00023187,"SANDBERG, CA US",1965.0,53.8,34.74361,-118.72528
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1965.0,60.7,33.62972,-84.44224
USW00024229,"PORTLAND INTERNATIONAL AIRPORT, OR US",1965.0,53.7,45.59578,-122.60919
USC00047339,"REDWOOD CITY, CA US",1965.0,58.7,37.4767,-122.2386
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",1965.0,55.5,37.61962,-122.36562
USC00046826,"PETALUMA AIRPORT, CA US",1965.0,57.1,38.2577,-122.6077
USC00043875,"HEALDSBURG, CA US",1965.0,59.3,38.62935,-122.86646
USC00045915,"MOUNT DIABLO JUNCTION, CA US",1965.0,58.7,37.8792,-121.9303
USC00044997,"LIVERMORE, CA US",1965.0,57.3,37.68194,-121.75139
USW00023169,"MCCARRAN INTERNATIONAL AIRPORT, NV US",1966.0,66.7,36.0719,-115.16343
USW00023009,"ROSWELL INDUSTRIAL AIR PARK, NM US",1966.0,59.5,33.30735,-104.50817
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1966.0,66.0,34.0236,-118.2911
USW00013723,"GREENSBORO PIEDMONT TRIAD INTERNATIONAL AIRPORT, NC US",1966.0,57.6,36.0969,-79.94316
USC00228374,"STATE UNIVERSITY, MS US",1966.0,62.0,33.4691,-88.7822
USW00013876,"BIRMINGHAM AIRPORT, AL US",1966.0,60.5,33.56545,-86.7449
USW00014936,"HURON REGIONAL AIRPORT, SD US",1966.0,43.5,44.37916,-98.22275
USC00351862,"CORVALLIS STATE UNIVERSITY, OR US",1966.0,52.5,44.6341,-123.19
USW00023160,"TUCSON INTERNATIONAL AIRPORT, AZ US",1966.0,67.4,32.13153,-110.95638
USW00013724,"ATLANTIC CITY MARINA, NJ US",1966.0,53.7,39.37778,-74.42361
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1966.0,48.0,41.96017,-87.93164
USW00094728,"NY CITY CENTRAL PARK, NY US",1966.0,55.0,40.77898,-73.96925
USW00023183,"PHOENIX AIRPORT, AZ US",1966.0,70.5,33.4278,-112.00365
USC00042294,"DAVIS 2 WSW EXPERIMENTAL FARM, CA US",1966.0,60.2,38.5349,-121.7761
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1966.0,43.7,44.9902,-93.17995
USW00012834,"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",1966.0,69.8,29.17351,-81.07185
USC00456789,"PULLMAN 2 NW, WA US",1966.0,47.8,46.76016,-117.1861
